Filepath_Deg;Filename;db;MOS;Condition;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;ssimProcess;psnrProcess;brisqueProcess;refFile;ssim;psnr;brisque
.\Deg\cafe_jp2444_0.250000_dec.bmp;cafe_jp2444_0.250000_dec.bmp;JPEGCoreExperiment;24.46153846;7;30;27;28;22;17;35;6;31;24;18;38;58;59;19;8;23;1;1;1;.\Original\cafe_orig.bmp;0.636364675;19.70651369;99.9767
.\Deg\cafe_jp2444_0.500000_dec.bmp;cafe_jp2444_0.500000_dec.bmp;JPEGCoreExperiment;43.07692308;8;40;33;51;49;67;31;8;50;42;54;53;62;47;42;53;29;1;1;1;.\Original\cafe_orig.bmp;0.737248063;21.26153901;101.137
.\Deg\cafe_jp2444_0.750000_dec.bmp;cafe_jp2444_0.750000_dec.bmp;JPEGCoreExperiment;50.61538462;9;50;53;67;65;47;48;65;56;50;23;49;71;81;64;22;44;1;1;1;.\Original\cafe_orig.bmp;0.799735101;23.3345277;100.079
.\Deg\cafe_jp2444_1.000000_dec.bmp;cafe_jp2444_1.000000_dec.bmp;JPEGCoreExperiment;68.61538462;10;70;71;73;70;68;61;56;49;74;81;70;94;76;65;75;58;1;1;1;.\Original\cafe_orig.bmp;0.851278189;25.273981;97.3022
.\Deg\cafe_jp2444_1.250000_dec.bmp;cafe_jp2444_1.250000_dec.bmp;JPEGCoreExperiment;73.07692308;11;70;78;71;100;64;74;71;65;50;62;79;100;100;78;77;61;1;1;1;.\Original\cafe_orig.bmp;0.879482347;27.04956678;95.6088
.\Deg\cafe_jp2444_1.500000_dec.bmp;cafe_jp2444_1.500000_dec.bmp;JPEGCoreExperiment;81.53846154;12;78;70;73;100;80;100;85;63;75;68;93;100;93;78;90;73;1;1;1;.\Original\cafe_orig.bmp;0.907732851;28.53902078;94.3666
.\Deg\cafe_jpg420_0.250000_dec.bmp;cafe_jpg420_0.250000_dec.bmp;JPEGCoreExperiment;7.076923077;13;10;0;51;39;6;2;1;10;1;2;17;4;5;9;0;8;1;1;1;.\Original\cafe_orig.bmp;0.685420681;20.57189855;96.5858
.\Deg\cafe_jpg420_0.500000_dec.bmp;cafe_jpg420_0.500000_dec.bmp;JPEGCoreExperiment;12.30769231;14;10;10;48;12;13;1;4;9;10;19;15;55;17;15;0;2;1;1;1;.\Original\cafe_orig.bmp;0.711282149;21.13224887;96.0992
.\Deg\cafe_jpg420_0.750000_dec.bmp;cafe_jpg420_0.750000_dec.bmp;JPEGCoreExperiment;42.30769231;15;40;30;49;54;37;22;46;55;44;20;54;59;38;38;69;36;1;1;1;.\Original\cafe_orig.bmp;0.805475914;23.4321487;94.2104
.\Deg\cafe_jpg420_1.000000_dec.bmp;cafe_jpg420_1.000000_dec.bmp;JPEGCoreExperiment;64.46153846;16;48;71;71;89;67;59;71;72;76;35;57;68;80;69;66;47;1;1;1;.\Original\cafe_orig.bmp;0.848940268;24.94997849;93.425
.\Deg\cafe_jpg420_1.250000_dec.bmp;cafe_jpg420_1.250000_dec.bmp;JPEGCoreExperiment;71.76923077;17;75;56;69;100;83;56;76;75;45;58;83;100;83;65;78;66;1;1;1;.\Original\cafe_orig.bmp;0.881469839;26.42223822;93.0231
.\Deg\cafe_jpg420_1.500000_dec.bmp;cafe_jpg420_1.500000_dec.bmp;JPEGCoreExperiment;75.07692308;18;93;70;70;57;71;67;78;76;80;44;88;100;76;98;75;67;1;1;1;.\Original\cafe_orig.bmp;0.90348575;27.68500174;92.4391
.\Deg\cafe_xrMS420_0.250000_dec.bmp;cafe_xrMS420_0.250000_dec.bmp;JPEGCoreExperiment;11;19;29;0;31;10;20;4;1;11;2;2;16;37;14;15;2;10;1;1;1;.\Original\cafe_orig.bmp;0.623335571;19.22716484;102.312
.\Deg\cafe_xrMS420_0.500000_dec.bmp;cafe_xrMS420_0.500000_dec.bmp;JPEGCoreExperiment;38.30769231;20;49;23;49;29;36;35;34;49;51;19;41;44;42;48;48;33;1;1;1;.\Original\cafe_orig.bmp;0.764607934;22.0733303;95.764
.\Deg\cafe_xrMS420_0.750000_dec.bmp;cafe_xrMS420_0.750000_dec.bmp;JPEGCoreExperiment;60.15384615;21;60;44;73;55;58;50;70;73;70;48;59;73;77;48;70;63;1;1;1;.\Original\cafe_orig.bmp;0.841542333;24.52386415;94.6758
.\Deg\cafe_xrMS420_1.000000_dec.bmp;cafe_xrMS420_1.000000_dec.bmp;JPEGCoreExperiment;81.53846154;22;70;67;68;100;100;100;71;78;70;63;62;100;77;90;86;65;1;1;1;.\Original\cafe_orig.bmp;0.880297655;26.22990239;94.2003
.\Deg\cafe_xrMS420_1.250000_dec.bmp;cafe_xrMS420_1.250000_dec.bmp;JPEGCoreExperiment;80.15384615;23;69;71;70;100;72;52;78;76;95;78;84;100;84;79;86;86;1;1;1;.\Original\cafe_orig.bmp;0.905875519;27.68167916;93.9983
.\Deg\cafe_xrMS420_1.500000_dec.bmp;cafe_xrMS420_1.500000_dec.bmp;JPEGCoreExperiment;83.30769231;24;70;71;72;100;100;66;82;79;96;77;72;100;100;96;76;70;1;1;1;.\Original\cafe_orig.bmp;0.924697689;29.00540386;93.6438
.\Deg\cafe_xrPS420_0.25.bmp;cafe_xrPS420_0.25.bmp;JPEGCoreExperiment;7.076923077;25;10;0;46;11;3;3;3;14;2;2;36;25;27;13;0;6;1;1;1;.\Original\cafe_orig.bmp;0.629436535;19.53580645;100.317
.\Deg\cafe_xrPS420_0.5.bmp;cafe_xrPS420_0.5.bmp;JPEGCoreExperiment;27.92307692;26;29;23;52;40;27;5;11;27;45;37;58;44;27;25;21;29;1;1;1;.\Original\cafe_orig.bmp;0.753568074;22.03286366;95.0631
.\Deg\cafe_xrPS420_0.75.bmp;cafe_xrPS420_0.75.bmp;JPEGCoreExperiment;52.38461538;27;69;35;68;62;37;63;40;49;70;22;59;74;77;63;56;41;1;1;1;.\Original\cafe_orig.bmp;0.8181258;23.77200693;94.3058
.\Deg\cafe_xrPS420_1.0.bmp;cafe_xrPS420_1.0.bmp;JPEGCoreExperiment;61.30769231;28;60;65;70;71;68;37;71;66;50;75;71;62;80;63;66;43;1;1;1;.\Original\cafe_orig.bmp;0.853380748;25.06758987;94.5574
.\Deg\cafe_xrPS420_1.25.bmp;cafe_xrPS420_1.25.bmp;JPEGCoreExperiment;77.30769231;29;70;74;69;100;71;57;74;78;72;64;76;100;79;93;89;63;1;1;1;.\Original\cafe_orig.bmp;0.883542463;26.45920439;94.3077
.\Deg\cafe_xrPS420_1.5.bmp;cafe_xrPS420_1.5.bmp;JPEGCoreExperiment;77.84615385;30;80;70;74;100;94;45;78;69;75;60;81;100;70;78;100;63;1;1;1;.\Original\cafe_orig.bmp;0.901035816;27.40906022;94.0412
.\Original\p01_orig.bmp;p01.bmp;JPEGCoreExperiment;97.15384615;original;100;71;100;100;100;92;100;100;100;100;100;100;100;100;100;100;1;0;1;.\Original\p01_orig.bmp;1;0;107.292
.\Deg\p01_jp2420_0.250000_dec.bmp;p01_jp2420_0.250000_dec.bmp;JPEGCoreExperiment;60.23076923;1;95;51;51;100;71;57;53;49;40;58;77;71;93;35;32;71;1;1;1;.\Original\p01_orig.bmp;0.900330281;30.41109862;110.858
.\Deg\p01_jp2420_0.500000_dec.bmp;p01_jp2420_0.500000_dec.bmp;JPEGCoreExperiment;86.07692308;2;100;71;71;100;100;79;64;100;75;62;77;100;100;100;100;68;1;1;1;.\Original\p01_orig.bmp;0.950467167;34.74263578;109.816
.\Deg\p01_jp2420_0.750000_dec.bmp;p01_jp2420_0.750000_dec.bmp;JPEGCoreExperiment;87.76923077;3;100;53;71;100;100;47;83;100;100;100;96;100;100;79;100;79;1;1;1;.\Original\p01_orig.bmp;0.968696548;37.96921832;108.743
.\Deg\p01_jp2420_1.000000_dec.bmp;p01_jp2420_1.000000_dec.bmp;JPEGCoreExperiment;94.61538462;4;100;74;100;100;100;100;100;100;100;91;94;100;88;100;100;65;1;1;1;.\Original\p01_orig.bmp;0.978143316;40.12631527;108.11
.\Deg\p01_jp2420_1.250000_dec.bmp;p01_jp2420_1.250000_dec.bmp;JPEGCoreExperiment;95.07692308;5;100;68;100;100;100;100;100;100;100;86;100;100;100;100;100;82;1;1;1;.\Original\p01_orig.bmp;0.98244401;41.25971206;107.785
.\Deg\p01_jp2420_1.500000_dec.bmp;p01_jp2420_1.500000_dec.bmp;JPEGCoreExperiment;98.61538462;6;100;100;100;100;100;100;100;100;100;97;100;100;100;100;100;85;1;1;1;.\Original\p01_orig.bmp;0.985909083;42.49102761;107.716
.\Deg\p01_jp2444_0.250000_dec.bmp;p01_jp2444_0.250000_dec.bmp;JPEGCoreExperiment;51.23076923;7;95;34;50;70;83;65;34;52;12;22;79;49;78;38;56;56;1;1;1;.\Original\p01_orig.bmp;0.895260848;29.81059601;111.011
.\Deg\p01_jp2444_0.500000_dec.bmp;p01_jp2444_0.500000_dec.bmp;JPEGCoreExperiment;84.23076923;8;100;73;71;77;40;80;79;100;95;84;94;90;81;100;100;77;1;1;1;.\Original\p01_orig.bmp;0.948372031;32.64700151;109.81
.\Deg\p01_jp2444_0.750000_dec.bmp;p01_jp2444_0.750000_dec.bmp;JPEGCoreExperiment;92.38461538;9;95;70;72;100;100;82;71;100;97;98;95;100;84;100;100;88;1;1;1;.\Original\p01_orig.bmp;0.965163402;34.80448423;109.883
.\Deg\p01_jp2444_1.000000_dec.bmp;p01_jp2444_1.000000_dec.bmp;JPEGCoreExperiment;95.76923077;10;100;100;100;100;100;100;100;100;100;98;77;100;100;100;66;81;1;1;1;.\Original\p01_orig.bmp;0.975053012;36.92682422;109.008
.\Deg\p01_jp2444_1.250000_dec.bmp;p01_jp2444_1.250000_dec.bmp;JPEGCoreExperiment;96.92307692;11;100;100;100;100;86;84;100;100;100;98;100;100;80;100;100;92;1;1;1;.\Original\p01_orig.bmp;0.979968625;39.44856083;108.598
.\Deg\p01_jp2444_1.500000_dec.bmp;p01_jp2444_1.500000_dec.bmp;JPEGCoreExperiment;96.07692308;12;100;72;100;100;97;88;100;100;100;96;100;100;100;100;96;100;1;1;1;.\Original\p01_orig.bmp;0.98406157;40.50066243;108.016
.\Deg\p01_jpg420_0.250000_dec.bmp;p01_jpg420_0.250000_dec.bmp;JPEGCoreExperiment;9.230769231;13;31;9;29;9;4;5;4;10;2;5;19;25;5;12;0;4;1;1;1;.\Original\p01_orig.bmp;0.738366621;25.64407222;104.929
.\Deg\p01_jpg420_0.500000_dec.bmp;p01_jpg420_0.500000_dec.bmp;JPEGCoreExperiment;44;14;50;30;47;43;68;64;43;47;45;19;41;49;86;38;30;46;1;1;1;.\Original\p01_orig.bmp;0.906117201;30.64585773;106.531
.\Deg\p01_jpg420_0.750000_dec.bmp;p01_jpg420_0.750000_dec.bmp;JPEGCoreExperiment;71.46153846;15;100;44;76;100;89;100;66;50;24;71;80;100;94;76;55;54;1;1;1;.\Original\p01_orig.bmp;0.94684831;32.91529965;107.215
.\Deg\p01_jpg420_1.000000_dec.bmp;p01_jpg420_1.000000_dec.bmp;JPEGCoreExperiment;88.61538462;16;100;70;70;100;64;100;100;100;100;81;91;92;100;78;84;83;1;1;1;.\Original\p01_orig.bmp;0.964953206;33.99770301;107.588
.\Deg\p01_jpg420_1.250000_dec.bmp;p01_jpg420_1.250000_dec.bmp;JPEGCoreExperiment;92.07692308;17;100;100;100;81;100;100;87;100;90;82;100;100;100;79;95;83;1;1;1;.\Original\p01_orig.bmp;0.973758218;35.695262;107.743
.\Deg\p01_jpg420_1.500000_dec.bmp;p01_jpg420_1.500000_dec.bmp;JPEGCoreExperiment;95.76923077;18;100;100;100;52;100;93;100;100;100;100;100;100;100;100;100;100;1;1;1;.\Original\p01_orig.bmp;0.979615099;38.45618972;107.643
.\Deg\p01_xrMS420_0.250000_dec.bmp;p01_xrMS420_0.250000_dec.bmp;JPEGCoreExperiment;29.53846154;19;49;12;29;13;55;42;7;29;10;13;19;86;58;29;7;32;1;1;1;.\Original\p01_orig.bmp;0.871859982;28.01674131;111.755
.\Deg\p01_xrMS420_0.500000_dec.bmp;p01_xrMS420_0.500000_dec.bmp;JPEGCoreExperiment;73.53846154;20;100;44;72;100;100;73;79;65;30;70;57;100;77;72;43;80;1;1;1;.\Original\p01_orig.bmp;0.940376637;31.40184997;108.707
.\Deg\p01_xrMS420_0.750000_dec.bmp;p01_xrMS420_0.750000_dec.bmp;JPEGCoreExperiment;85.53846154;21;100;70;100;100;100;79;81;100;50;90;100;88;100;100;81;73;1;1;1;.\Original\p01_orig.bmp;0.963630342;33.07808964;108.365
.\Deg\p01_xrMS420_1.000000_dec.bmp;p01_xrMS420_1.000000_dec.bmp;JPEGCoreExperiment;98.76923077;22;100;100;100;100;100;100;98;100;99;90;98;100;100;100;100;97;1;1;1;.\Original\p01_orig.bmp;0.974282533;34.44371794;108.021
.\Deg\p01_xrMS420_1.250000_dec.bmp;p01_xrMS420_1.250000_dec.bmp;JPEGCoreExperiment;97.07692308;23;100;70;100;100;100;100;97;100;100;95;100;100;100;100;100;100;1;1;1;.\Original\p01_orig.bmp;0.981518408;37.1130984;107.804
.\Deg\p01_xrMS420_1.500000_dec.bmp;p01_xrMS420_1.500000_dec.bmp;JPEGCoreExperiment;96.30769231;24;100;71;100;100;100;84;98;100;100;100;100;100;100;100;100;99;1;1;1;.\Original\p01_orig.bmp;0.985795353;39.12963605;107.894
.\Deg\p01_xrPS420_0.25.bmp;p01_xrPS420_0.25.bmp;JPEGCoreExperiment;27.46153846;25;70;9;33;21;65;40;23;26;7;19;8;33;56;30;7;7;1;1;1;.\Original\p01_orig.bmp;0.885929709;28.89283671;110.172
.\Deg\p01_xrPS420_0.5.bmp;p01_xrPS420_0.5.bmp;JPEGCoreExperiment;62.53846154;26;90;71;72;56;43;80;70;70;50;37;70;100;66;52;20;74;1;1;1;.\Original\p01_orig.bmp;0.945457954;32.95765655;108.307
.\Deg\p01_xrPS420_0.75.bmp;p01_xrPS420_0.75.bmp;JPEGCoreExperiment;88.92307692;27;100;100;73;76;100;84;91;100;98;77;100;100;85;100;35;95;1;1;1;.\Original\p01_orig.bmp;0.964985733;35.77547769;108.29
.\Deg\p01_xrPS420_1.0.bmp;p01_xrPS420_1.0.bmp;JPEGCoreExperiment;89.84615385;28;91;100;100;100;66;93;100;72;92;84;90;100;100;100;94;76;1;1;1;.\Original\p01_orig.bmp;0.974940374;38.0113529;108.043
.\Deg\p01_xrPS420_1.25.bmp;p01_xrPS420_1.25.bmp;JPEGCoreExperiment;97.23076923;29;95;100;100;100;100;100;97;100;100;91;98;100;100;100;87;94;1;1;1;.\Original\p01_orig.bmp;0.98082196;36.68999706;107.879
.\Deg\p01_xrPS420_1.5.bmp;p01_xrPS420_1.5.bmp;JPEGCoreExperiment;96.23076923;30;100;100;100;70;100;100;100;100;100;100;82;100;100;100;98;83;1;1;1;.\Original\p01_orig.bmp;0.984626133;40.21158537;107.854
.\Original\p06_orig.bmp;p06.bmp;JPEGCoreExperiment;97.15384615;original;100;72;100;100;100;91;100;100;100;100;100;100;100;100;100;100;1;0;1;.\Original\p06_orig.bmp;1;0;115.718
.\Deg\p06_jp2420_0.250000_dec.bmp;p06_jp2420_0.250000_dec.bmp;JPEGCoreExperiment;40.69230769;1;50;27;50;47;56;30;27;48;20;58;47;43;67;29;51;43;1;1;1;.\Original\p06_orig.bmp;0.893371135;33.26615546;116.305
.\Deg\p06_jp2420_0.500000_dec.bmp;p06_jp2420_0.500000_dec.bmp;JPEGCoreExperiment;73.76923077;2;70;72;72;100;65;76;81;68;80;55;76;91;100;52;86;63;1;1;1;.\Original\p06_orig.bmp;0.936443973;37.39877035;116.323
.\Deg\p06_jp2420_0.750000_dec.bmp;p06_jp2420_0.750000_dec.bmp;JPEGCoreExperiment;83.53846154;3;95;100;73;100;86;82;95;67;70;78;65;85;80;78;84;66;1;1;1;.\Original\p06_orig.bmp;0.952614532;39.70803442;116.262
.\Deg\p06_jp2420_1.000000_dec.bmp;p06_jp2420_1.000000_dec.bmp;JPEGCoreExperiment;86.84615385;4;70;100;100;100;100;69;100;72;100;78;100;100;100;100;69;71;1;1;1;.\Original\p06_orig.bmp;0.964896861;41.45208602;116.038
.\Deg\p06_jp2420_1.250000_dec.bmp;p06_jp2420_1.250000_dec.bmp;JPEGCoreExperiment;87.38461538;5;95;63;100;100;80;100;93;68;91;76;100;100;87;100;100;70;1;1;1;.\Original\p06_orig.bmp;0.972377071;42.7965308;115.876
.\Deg\p06_jp2420_1.500000_dec.bmp;p06_jp2420_1.500000_dec.bmp;JPEGCoreExperiment;87.15384615;6;100;70;100;100;66;82;91;72;100;70;77;100;78;100;92;90;1;1;1;.\Original\p06_orig.bmp;0.977826194;43.90784905;115.994
.\Deg\p06_jp2444_0.250000_dec.bmp;p06_jp2444_0.250000_dec.bmp;JPEGCoreExperiment;54.07692308;7;70;28;66;59;38;37;72;62;50;39;43;72;63;66;62;48;1;1;1;.\Original\p06_orig.bmp;0.893567757;31.43384217;115.528
.\Deg\p06_jp2444_0.500000_dec.bmp;p06_jp2444_0.500000_dec.bmp;JPEGCoreExperiment;84;8;100;100;74;100;78;74;87;72;91;91;83;88;100;77;79;55;1;1;1;.\Original\p06_orig.bmp;0.931704776;35.19280443;116.257
