,Unnamed: 0,Filepath Deg,Filename,db,MOS,Condition,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Filepath Ref,ssim,brisque
46,46,.\Deg\cafe_jpg420_0.750000_dec.bmp,cafe_jpg420_0.750000_dec.bmp,JPEGCoreExperiment,42.30769231,15,40,30,49,54,37,22,46,55,44,20,54,59,38,38,69,36,.\Original\cafe_orig.bmp,0.805475914,94.2104
47,47,.\Deg\cafe_jpg420_1.000000_dec.bmp,cafe_jpg420_1.000000_dec.bmp,JPEGCoreExperiment,64.46153846,16,48,71,71,89,67,59,71,72,76,35,57,68,80,69,66,47,.\Original\cafe_orig.bmp,0.848940268,93.425
48,48,.\Deg\cafe_jpg420_1.250000_dec.bmp,cafe_jpg420_1.250000_dec.bmp,JPEGCoreExperiment,71.76923077,17,75,56,69,100,83,56,76,75,45,58,83,100,83,65,78,66,.\Original\cafe_orig.bmp,0.881469839,93.0231
49,49,.\Deg\cafe_jpg420_1.500000_dec.bmp,cafe_jpg420_1.500000_dec.bmp,JPEGCoreExperiment,75.07692308,18,93,70,70,57,71,67,78,76,80,44,88,100,76,98,75,67,.\Original\cafe_orig.bmp,0.90348575,92.4391
50,50,.\Deg\cafe_xrMS420_0.250000_dec.bmp,cafe_xrMS420_0.250000_dec.bmp,JPEGCoreExperiment,11.0,19,29,0,31,10,20,4,1,11,2,2,16,37,14,15,2,10,.\Original\cafe_orig.bmp,0.623335571,102.312
51,51,.\Deg\cafe_xrMS420_0.500000_dec.bmp,cafe_xrMS420_0.500000_dec.bmp,JPEGCoreExperiment,38.30769231,20,49,23,49,29,36,35,34,49,51,19,41,44,42,48,48,33,.\Original\cafe_orig.bmp,0.764607934,95.764
52,52,.\Deg\cafe_xrMS420_0.750000_dec.bmp,cafe_xrMS420_0.750000_dec.bmp,JPEGCoreExperiment,60.15384615,21,60,44,73,55,58,50,70,73,70,48,59,73,77,48,70,63,.\Original\cafe_orig.bmp,0.841542333,94.6758
53,53,.\Deg\cafe_xrMS420_1.000000_dec.bmp,cafe_xrMS420_1.000000_dec.bmp,JPEGCoreExperiment,81.53846154,22,70,67,68,100,100,100,71,78,70,63,62,100,77,90,86,65,.\Original\cafe_orig.bmp,0.880297655,94.2003
54,54,.\Deg\cafe_xrMS420_1.250000_dec.bmp,cafe_xrMS420_1.250000_dec.bmp,JPEGCoreExperiment,80.15384615,23,69,71,70,100,72,52,78,76,95,78,84,100,84,79,86,86,.\Original\cafe_orig.bmp,0.905875519,93.9983
55,55,.\Deg\cafe_xrMS420_1.500000_dec.bmp,cafe_xrMS420_1.500000_dec.bmp,JPEGCoreExperiment,83.30769231,24,70,71,72,100,100,66,82,79,96,77,72,100,100,96,76,70,.\Original\cafe_orig.bmp,0.924697689,93.6438
56,56,.\Deg\cafe_xrPS420_0.25.bmp,cafe_xrPS420_0.25.bmp,JPEGCoreExperiment,7.076923077,25,10,0,46,11,3,3,3,14,2,2,36,25,27,13,0,6,.\Original\cafe_orig.bmp,0.629436535,100.317
57,57,.\Deg\cafe_xrPS420_0.5.bmp,cafe_xrPS420_0.5.bmp,JPEGCoreExperiment,27.92307692,26,29,23,52,40,27,5,11,27,45,37,58,44,27,25,21,29,.\Original\cafe_orig.bmp,0.753568074,95.0631
58,58,.\Deg\cafe_xrPS420_0.75.bmp,cafe_xrPS420_0.75.bmp,JPEGCoreExperiment,52.38461538,27,69,35,68,62,37,63,40,49,70,22,59,74,77,63,56,41,.\Original\cafe_orig.bmp,0.8181258,94.3058
59,59,.\Deg\cafe_xrPS420_1.0.bmp,cafe_xrPS420_1.0.bmp,JPEGCoreExperiment,61.30769231,28,60,65,70,71,68,37,71,66,50,75,71,62,80,63,66,43,.\Original\cafe_orig.bmp,0.853380748,94.5574
60,60,.\Deg\cafe_xrPS420_1.25.bmp,cafe_xrPS420_1.25.bmp,JPEGCoreExperiment,77.30769231,29,70,74,69,100,71,57,74,78,72,64,76,100,79,93,89,63,.\Original\cafe_orig.bmp,0.883542463,94.3077
61,61,.\Deg\cafe_xrPS420_1.5.bmp,cafe_xrPS420_1.5.bmp,JPEGCoreExperiment,77.84615385,30,80,70,74,100,94,45,78,69,75,60,81,100,70,78,100,63,.\Original\cafe_orig.bmp,0.901035816,94.0412
63,63,.\Deg\p01_jp2420_0.250000_dec.bmp,p01_jp2420_0.250000_dec.bmp,JPEGCoreExperiment,60.23076923,1,95,51,51,100,71,57,53,49,40,58,77,71,93,35,32,71,.\Original\p01_orig.bmp,0.900330281,110.858
64,64,.\Deg\p01_jp2420_0.500000_dec.bmp,p01_jp2420_0.500000_dec.bmp,JPEGCoreExperiment,86.07692308,2,100,71,71,100,100,79,64,100,75,62,77,100,100,100,100,68,.\Original\p01_orig.bmp,0.950467167,109.816
65,65,.\Deg\p01_jp2420_0.750000_dec.bmp,p01_jp2420_0.750000_dec.bmp,JPEGCoreExperiment,87.76923077,3,100,53,71,100,100,47,83,100,100,100,96,100,100,79,100,79,.\Original\p01_orig.bmp,0.968696548,108.743
66,66,.\Deg\p01_jp2420_1.000000_dec.bmp,p01_jp2420_1.000000_dec.bmp,JPEGCoreExperiment,94.61538462,4,100,74,100,100,100,100,100,100,100,91,94,100,88,100,100,65,.\Original\p01_orig.bmp,0.978143316,108.11
67,67,.\Deg\p01_jp2420_1.250000_dec.bmp,p01_jp2420_1.250000_dec.bmp,JPEGCoreExperiment,95.07692308,5,100,68,100,100,100,100,100,100,100,86,100,100,100,100,100,82,.\Original\p01_orig.bmp,0.98244401,107.785
68,68,.\Deg\p01_jp2420_1.500000_dec.bmp,p01_jp2420_1.500000_dec.bmp,JPEGCoreExperiment,98.61538462,6,100,100,100,100,100,100,100,100,100,97,100,100,100,100,100,85,.\Original\p01_orig.bmp,0.985909083,107.716
69,69,.\Deg\p01_jp2444_0.250000_dec.bmp,p01_jp2444_0.250000_dec.bmp,JPEGCoreExperiment,51.23076923,7,95,34,50,70,83,65,34,52,12,22,79,49,78,38,56,56,.\Original\p01_orig.bmp,0.895260848,111.011
70,70,.\Deg\p01_jp2444_0.500000_dec.bmp,p01_jp2444_0.500000_dec.bmp,JPEGCoreExperiment,84.23076923,8,100,73,71,77,40,80,79,100,95,84,94,90,81,100,100,77,.\Original\p01_orig.bmp,0.948372031,109.81
71,71,.\Deg\p01_jp2444_0.750000_dec.bmp,p01_jp2444_0.750000_dec.bmp,JPEGCoreExperiment,92.38461538,9,95,70,72,100,100,82,71,100,97,98,95,100,84,100,100,88,.\Original\p01_orig.bmp,0.965163402,109.883
72,72,.\Deg\p01_jp2444_1.000000_dec.bmp,p01_jp2444_1.000000_dec.bmp,JPEGCoreExperiment,95.76923077,10,100,100,100,100,100,100,100,100,100,98,77,100,100,100,66,81,.\Original\p01_orig.bmp,0.975053012,109.008
73,73,.\Deg\p01_jp2444_1.250000_dec.bmp,p01_jp2444_1.250000_dec.bmp,JPEGCoreExperiment,96.92307692,11,100,100,100,100,86,84,100,100,100,98,100,100,80,100,100,92,.\Original\p01_orig.bmp,0.979968625,108.598
74,74,.\Deg\p01_jp2444_1.500000_dec.bmp,p01_jp2444_1.500000_dec.bmp,JPEGCoreExperiment,96.07692308,12,100,72,100,100,97,88,100,100,100,96,100,100,100,100,96,100,.\Original\p01_orig.bmp,0.98406157,108.016
75,75,.\Deg\p01_jpg420_0.250000_dec.bmp,p01_jpg420_0.250000_dec.bmp,JPEGCoreExperiment,9.230769231,13,31,9,29,9,4,5,4,10,2,5,19,25,5,12,0,4,.\Original\p01_orig.bmp,0.738366621,104.929
76,76,.\Deg\p01_jpg420_0.500000_dec.bmp,p01_jpg420_0.500000_dec.bmp,JPEGCoreExperiment,44.0,14,50,30,47,43,68,64,43,47,45,19,41,49,86,38,30,46,.\Original\p01_orig.bmp,0.906117201,106.531
77,77,.\Deg\p01_jpg420_0.750000_dec.bmp,p01_jpg420_0.750000_dec.bmp,JPEGCoreExperiment,71.46153846,15,100,44,76,100,89,100,66,50,24,71,80,100,94,76,55,54,.\Original\p01_orig.bmp,0.94684831,107.215
78,78,.\Deg\p01_jpg420_1.000000_dec.bmp,p01_jpg420_1.000000_dec.bmp,JPEGCoreExperiment,88.61538462,16,100,70,70,100,64,100,100,100,100,81,91,92,100,78,84,83,.\Original\p01_orig.bmp,0.964953206,107.588
79,79,.\Deg\p01_jpg420_1.250000_dec.bmp,p01_jpg420_1.250000_dec.bmp,JPEGCoreExperiment,92.07692308,17,100,100,100,81,100,100,87,100,90,82,100,100,100,79,95,83,.\Original\p01_orig.bmp,0.973758218,107.743
80,80,.\Deg\p01_jpg420_1.500000_dec.bmp,p01_jpg420_1.500000_dec.bmp,JPEGCoreExperiment,95.76923077,18,100,100,100,52,100,93,100,100,100,100,100,100,100,100,100,100,.\Original\p01_orig.bmp,0.979615099,107.643
81,81,.\Deg\p01_xrMS420_0.250000_dec.bmp,p01_xrMS420_0.250000_dec.bmp,JPEGCoreExperiment,29.53846154,19,49,12,29,13,55,42,7,29,10,13,19,86,58,29,7,32,.\Original\p01_orig.bmp,0.871859982,111.755
82,82,.\Deg\p01_xrMS420_0.500000_dec.bmp,p01_xrMS420_0.500000_dec.bmp,JPEGCoreExperiment,73.53846154,20,100,44,72,100,100,73,79,65,30,70,57,100,77,72,43,80,.\Original\p01_orig.bmp,0.940376637,108.707
83,83,.\Deg\p01_xrMS420_0.750000_dec.bmp,p01_xrMS420_0.750000_dec.bmp,JPEGCoreExperiment,85.53846154,21,100,70,100,100,100,79,81,100,50,90,100,88,100,100,81,73,.\Original\p01_orig.bmp,0.963630342,108.365
84,84,.\Deg\p01_xrMS420_1.000000_dec.bmp,p01_xrMS420_1.000000_dec.bmp,JPEGCoreExperiment,98.76923077,22,100,100,100,100,100,100,98,100,99,90,98,100,100,100,100,97,.\Original\p01_orig.bmp,0.974282533,108.021
85,85,.\Deg\p01_xrMS420_1.250000_dec.bmp,p01_xrMS420_1.250000_dec.bmp,JPEGCoreExperiment,97.07692308,23,100,70,100,100,100,100,97,100,100,95,100,100,100,100,100,100,.\Original\p01_orig.bmp,0.981518408,107.804
86,86,.\Deg\p01_xrMS420_1.500000_dec.bmp,p01_xrMS420_1.500000_dec.bmp,JPEGCoreExperiment,96.30769231,24,100,71,100,100,100,84,98,100,100,100,100,100,100,100,100,99,.\Original\p01_orig.bmp,0.985795353,107.894
87,87,.\Deg\p01_xrPS420_0.25.bmp,p01_xrPS420_0.25.bmp,JPEGCoreExperiment,27.46153846,25,70,9,33,21,65,40,23,26,7,19,8,33,56,30,7,7,.\Original\p01_orig.bmp,0.885929709,110.172
88,88,.\Deg\p01_xrPS420_0.5.bmp,p01_xrPS420_0.5.bmp,JPEGCoreExperiment,62.53846154,26,90,71,72,56,43,80,70,70,50,37,70,100,66,52,20,74,.\Original\p01_orig.bmp,0.945457954,108.307
89,89,.\Deg\p01_xrPS420_0.75.bmp,p01_xrPS420_0.75.bmp,JPEGCoreExperiment,88.92307692,27,100,100,73,76,100,84,91,100,98,77,100,100,85,100,35,95,.\Original\p01_orig.bmp,0.964985733,108.29
90,90,.\Deg\p01_xrPS420_1.0.bmp,p01_xrPS420_1.0.bmp,JPEGCoreExperiment,89.84615385,28,91,100,100,100,66,93,100,72,92,84,90,100,100,100,94,76,.\Original\p01_orig.bmp,0.974940374,108.043
91,91,.\Deg\p01_xrPS420_1.25.bmp,p01_xrPS420_1.25.bmp,JPEGCoreExperiment,97.23076923,29,95,100,100,100,100,100,97,100,100,91,98,100,100,100,87,94,.\Original\p01_orig.bmp,0.98082196,107.879
92,92,.\Deg\p01_xrPS420_1.5.bmp,p01_xrPS420_1.5.bmp,JPEGCoreExperiment,96.23076923,30,100,100,100,70,100,100,100,100,100,100,82,100,100,100,98,83,.\Original\p01_orig.bmp,0.984626133,107.854
94,94,.\Deg\p06_jp2420_0.250000_dec.bmp,p06_jp2420_0.250000_dec.bmp,JPEGCoreExperiment,40.69230769,1,50,27,50,47,56,30,27,48,20,58,47,43,67,29,51,43,.\Original\p06_orig.bmp,0.893371135,116.305
95,95,.\Deg\p06_jp2420_0.500000_dec.bmp,p06_jp2420_0.500000_dec.bmp,JPEGCoreExperiment,73.76923077,2,70,72,72,100,65,76,81,68,80,55,76,91,100,52,86,63,.\Original\p06_orig.bmp,0.936443973,116.323
96,96,.\Deg\p06_jp2420_0.750000_dec.bmp,p06_jp2420_0.750000_dec.bmp,JPEGCoreExperiment,83.53846154,3,95,100,73,100,86,82,95,67,70,78,65,85,80,78,84,66,.\Original\p06_orig.bmp,0.952614532,116.262
97,97,.\Deg\p06_jp2420_1.000000_dec.bmp,p06_jp2420_1.000000_dec.bmp,JPEGCoreExperiment,86.84615385,4,70,100,100,100,100,69,100,72,100,78,100,100,100,100,69,71,.\Original\p06_orig.bmp,0.964896861,116.038
98,98,.\Deg\p06_jp2420_1.250000_dec.bmp,p06_jp2420_1.250000_dec.bmp,JPEGCoreExperiment,87.38461538,5,95,63,100,100,80,100,93,68,91,76,100,100,87,100,100,70,.\Original\p06_orig.bmp,0.972377071,115.876
99,99,.\Deg\p06_jp2420_1.500000_dec.bmp,p06_jp2420_1.500000_dec.bmp,JPEGCoreExperiment,87.15384615,6,100,70,100,100,66,82,91,72,100,70,77,100,78,100,92,90,.\Original\p06_orig.bmp,0.977826194,115.994
100,100,.\Deg\p06_jp2444_0.250000_dec.bmp,p06_jp2444_0.250000_dec.bmp,JPEGCoreExperiment,54.07692308,7,70,28,66,59,38,37,72,62,50,39,43,72,63,66,62,48,.\Original\p06_orig.bmp,0.893567757,115.528
101,101,.\Deg\p06_jp2444_0.500000_dec.bmp,p06_jp2444_0.500000_dec.bmp,JPEGCoreExperiment,84.0,8,100,100,74,100,78,74,87,72,91,91,83,88,100,77,79,55,.\Original\p06_orig.bmp,0.931704776,116.257
102,102,.\Deg\p06_jp2444_0.750000_dec.bmp,p06_jp2444_0.750000_dec.bmp,JPEGCoreExperiment,85.84615385,9,100,100,72,100,88,79,87,69,90,77,87,100,97,79,69,78,.\Original\p06_orig.bmp,0.951221856,116.154
103,103,.\Deg\p06_jp2444_1.000000_dec.bmp,p06_jp2444_1.000000_dec.bmp,JPEGCoreExperiment,87.92307692,10,70,70,73,100,81,100,96,72,95,82,87,100,100,100,100,77,.\Original\p06_orig.bmp,0.962838666,115.912
104,104,.\Deg\p06_jp2444_1.250000_dec.bmp,p06_jp2444_1.250000_dec.bmp,JPEGCoreExperiment,88.69230769,11,95,100,71,100,100,59,84,71,70,79,86,100,82,100,95,100,.\Original\p06_orig.bmp,0.96918678,115.804
105,105,.\Deg\p06_jp2444_1.500000_dec.bmp,p06_jp2444_1.500000_dec.bmp,JPEGCoreExperiment,95.15384615,12,70,100,100,100,94,100,93,100,100,96,80,100,89,100,100,84,.\Original\p06_orig.bmp,0.973749053,115.824
106,106,.\Deg\p06_jpg420_0.250000_dec.bmp,p06_jpg420_0.250000_dec.bmp,JPEGCoreExperiment,12.53846154,13,20,9,30,11,23,3,4,13,15,5,27,45,5,8,0,7,.\Original\p06_orig.bmp,0.773015456,116.072
107,107,.\Deg\p06_jpg420_0.500000_dec.bmp,p06_jpg420_0.500000_dec.bmp,JPEGCoreExperiment,41.0,14,50,29,49,69,41,32,35,47,55,21,42,64,73,38,0,52,.\Original\p06_orig.bmp,0.912694112,116.226
108,108,.\Deg\p06_jpg420_0.750000_dec.bmp,p06_jpg420_0.750000_dec.bmp,JPEGCoreExperiment,75.15384615,15,70,72,75,100,61,68,90,76,90,76,65,84,80,57,68,65,.\Original\p06_orig.bmp,0.941814634,116.101
109,109,.\Deg\p06_jpg420_1.000000_dec.bmp,p06_jpg420_1.000000_dec.bmp,JPEGCoreExperiment,84.84615385,16,95,100,70,74,57,100,88,76,87,61,89,88,83,100,94,83,.\Original\p06_orig.bmp,0.956266539,115.855
110,110,.\Deg\p06_jpg420_1.250000_dec.bmp,p06_jpg420_1.250000_dec.bmp,JPEGCoreExperiment,85.84615385,17,92,73,73,100,71,83,93,72,90,85,78,75,96,100,100,82,.\Original\p06_orig.bmp,0.965755767,115.877
111,111,.\Deg\p06_jpg420_1.500000_dec.bmp,p06_jpg420_1.500000_dec.bmp,JPEGCoreExperiment,95.07692308,18,95,100,100,100,87,81,94,100,97,82,100,100,95,100,100,100,.\Original\p06_orig.bmp,0.972829608,115.885
